id,cluster,entropy,turbulence,transitions
1,type 1,0.21695679408822,3.16220118545164,2
2,type 1,0.162488237864537,3,2
3,type 1,0.162488237864537,3,2
4,type 1,0.181432261960644,2.44214272944144,1
5,type 1,0.21695679408822,3.16220118545164,2
6,type 1,0.21695679408822,3.16220118545164,2
7,type 2,0.542750918624139,5.36055486039397,3
8,type 1,0.350328974383813,3.70968898075413,2
9,type 1,0.21695679408822,3.16220118545164,2
10,type 3,0.427663107552391,4.63523570720238,3
11,type 1,0.242746981237189,4,3
12,type 3,0.381116455864281,3.90578465838235,2
13,type 1,0.0815649357620124,2,1
14,type 1,0.0815649357620124,2,1
15,type 1,0.427663107552391,4.63523570720238,3
16,type 3,0.339855679587503,4.30021195470333,3
17,type 1,0.136698050715568,2.21266088331867,1
18,type 1,0.162488237864537,3,2
19,type 1,0.443718949722753,4.6528835730218,3
20,type 1,0.136698050715568,2.21266088331867,1
21,type 3,0.298009650268171,3.5032381032867,2
22,type 1,0.21695679408822,3.16220118545164,2
23,type 1,0.136698050715568,2.21266088331867,1
24,type 1,0.219155792935046,2.69131448189349,1
25,type 1,0.21695679408822,3.16220118545164,2
26,type 2,0.512524277171969,5.27547917220044,2
27,type 3,0.356650471575569,3.71937153415147,2
28,type 1,0.21695679408822,3.16220118545164,2
29,type 1,0.162488237864537,3,2
30,type 1,0.162488237864537,3,2
31,type 2,0.0815649357620124,2,1
32,type 1,0.162488237864537,3,2
33,type 1,0.136698050715568,2.21266088331867,1
34,type 1,0.162488237864537,3,2
35,type 1,0.21695679408822,3.16220118545164,2
36,type 3,0.532030683290648,5.19627958101732,3
37,type 1,0.162488237864537,3,2
38,type 3,0.314065492438533,3.52006272592806,2
39,type 3,0.298009650268171,3.5032381032867,2
40,type 1,0.270736167232985,3.33750089880782,2
41,type 3,0.298009650268171,3.5032381032867,2
42,type 1,0.21695679408822,3.16220118545164,2
43,type 1,0.0815649357620124,2,1
44,type 1,0.162488237864537,3,2
45,type 1,0.21695679408822,3.16220118545164,2
46,type 1,0.0815649357620124,2,1
47,type 1,0.21695679408822,3.16220118545164,2
48,type 1,0.270736167232985,3.33750089880782,2
49,type 1,0.0815649357620124,2,1
50,type 3,0.426817568262608,5.21195525286223,4
51,type 1,0.21695679408822,3.16220118545164,2
52,type 3,0.483027986867953,4.96927348436774,3
53,type 1,0.270736167232985,3.33750089880782,2
54,type 1,0.162488237864537,3,2
55,type 3,0.601909348681752,5.94189704543643,3
56,type 1,0.21695679408822,3.16220118545164,2
57,type 1,0.21695679408822,3.16220118545164,2
58,type 3,0.433984604744146,4.64403265543954,3
59,type 1,0.162488237864537,3,2
60,type 3,0.46866359758194,6.15764667166388,5
61,type 1,0.136698050715568,2.21266088331867,1
62,type 1,0.0815649357620124,2,1
63,type 1,0.181432261960644,2.44214272944144,1
64,type 3,0.483027986867953,4.96927348436774,3
65,type 1,0.270736167232985,3.33750089880782,2
66,type 1,0.270736167232985,3.33750089880782,2
67,type 1,0.181432261960644,2.44214272944144,1
68,type 1,0.162488237864537,3,2
69,type 3,0.548797001844277,5.66690411425733,2
70,type 3,0.392175003703145,4.46970247487723,3
71,type 1,0.162488237864537,3,2
72,type 1,0.162488237864537,3,2
